# USGS Open-File Report 93-0280, complete 83-row Placer Pt-Au table (PDF pp. 60-61).
# Population rule: all published rows with positive tonnage; rows are ordered by ascending tonnage, then page/name; percentile=rank/83; every fifth rank is HELD_OUT. Zero reported grades remain explicit values.
# Columns: source_row_ref|deposit_name|country_code|district|role|tonnage_percentile|tonnage_mt|pt_ppb|au_gpt|os_ppb|ir_ppb|pd_ppb
p61:Zaetzeff-R|Zaetzeff, R.|URRS||HELD_OUT|0.7831325301204819|0.601|3430|0|0|0|0
p60:Gloubokia-1|Gloubokia 1|URRS||CALIBRATION|0.7951807228915663|0.715|3220|0|0|0|0
p60:Kitlim-Severniy-R|Kitlim, Severniy R.|URRS|Jerritt Canyon|CALIBRATION|0.8072289156626506|1.01|620|0.0004|6|12|2.5
p61:Syssim-R|Syssim R.|URRS||CALIBRATION|0.8192771084337349|1.160|857|0.014|8.6|0|1.9
p60:Bolshaya-Prpstokischenka|Bolshaya Prpstokischenka|URRS|Carlin-Lynn|CALIBRATION|0.8313253012048193|1.21|1370|0|0|0|0
p60:Bobrowka-River|Bobrowka River|URRS|Potosi|HELD_OUT|0.8433734939759037|1.275|2.3|0.0009|0.03|0.04|0.01
p60:Logwinska|Logwinska|URRS|Carlin-Lynn|CALIBRATION|0.8554216867469879|1.3|471|0|0|0|0
p60:Bolshaya-Sosnnvka|Bolshaya Sosnnvka|URRS||CALIBRATION|0.8674698795180723|1.42|2100|0|0|0|0
p61:Martian-R|Martian R.|URRS||CALIBRATION|0.8795180722891566|1.53|3440|0|137|69|6.9
p60:Bolshoi-Pokap-R|Bolshoi Pokap R.|URRS|Potosi|CALIBRATION|0.8915662650602409|2.22|3080|0.154|31|0|15.4
p61:Tschch-R|Tschch R.|URRS||HELD_OUT|0.9036144578313253|2.230|343|0|2.1|0|0.7
p60:Kossorgskii-Log|Kossorgskii Log|URRS||CALIBRATION|0.9156626506024096|2.36|475|0|0|0|0
p60:Lojok-at-Bisserskaya|Lojok at Bisserskaya|URRS|Carlin-Lynn|CALIBRATION|0.927710843373494|2.91|1440|0|0|0|0
p60:Judinsky-Lojok|Judinsky-Lojok|URRS|Jerritt Canyon|CALIBRATION|0.9397590361445783|3.073|570|0|0|0|0
p60:Malaia-Koswa-R|Malaia Koswa R.|URRS||CALIBRATION|0.9518072289156626|3.28|197|0.006|2|4|0
p61:Tilai-R|Tilai R.|URRS||HELD_OUT|0.963855421686747|3.770|18.5|0|0.9|0.2|0.05
p61:Wyssim-R|Wyssim R.|URRS||CALIBRATION|0.9759036144578314|3.880|206|0.0062|1.9|0|0.3
p61:Niasman-R|Niasman R.|URRS||CALIBRATION|0.9879518072289156|5.918|247|0|0|0|0
p60:Lobwa-R|Lobwa R.|URRS||CALIBRATION|1|7.06|165|0|0|0|0
